id,album,name,danceability,energy,key,loudness,speechiness,acounticness,instrumentalness,liveness,valence,tempo,duration
4kUZvXB3LC3an3HX6h0s17,KIDS SEE GHOSTS,Cudi Montage,0.729,0.504,8,-6.784,0.0321,0.401,1.44e-06,0.121,0.305,110.011,197001
2I3dW2dCBZAJGj5X21E53k,KIDS SEE GHOSTS,Kids See Ghosts,0.841,0.682,2,-7.007,0.0458,0.113,9.65e-05,0.131,0.338,94.985,245098
4RVbK6cV0VqWdpCDcx3hiT,KIDS SEE GHOSTS,Reborn,0.585,0.597,0,-7.499,0.037,0.339,0.0404,0.195,0.227,100.051,324674
7GRTrWsP3yo2Fx8umJfA1X,KIDS SEE GHOSTS,Freeee (Ghost Town Pt. 2),0.334,0.81,9,-4.855,0.0632,0.00457,0,0.158,0.306,151.643,206605
6JyEh4kl9DLwmSAoNDRn5b,KIDS SEE GHOSTS,4th Dimension,0.765,0.542,1,-6.755,0.39,0.278,1.87e-05,0.609,0.734,171.945,153351
7oHkit3F3vimtsBbnZkU0G,KIDS SEE GHOSTS,Fire,0.709,0.751,6,-3.801,0.16,0.472,4.71e-06,0.182,0.37,104.999,140527
3aUFrxO1B8EW63QchEl3wX,KIDS SEE GHOSTS,Feel The Love,0.58,0.469,0,-5.946,0.104,0.126,7.32e-05,0.099,0.369,110.573,165053
3s7MCdXyWmwjdcWh7GWXas,ye,Violent Crimes,0.669,0.419,1,-6.724,0.522,0.376,0,0.187,0.0397,109.813,215320
7vgTNTaEz3CsBZ1N4YQalM,ye,Ghost Town,0.573,0.545,7,-4.247,0.0288,0.0969,0,0.329,0.297,83.378,271387
35KV2Nuib6jPMVN00O8iba,ye,No Mistakes,0.643,0.646,10,-2.442,0.0629,0.0393,0,0.109,0.35,80.174,123040
1nGoy0cEj0extAwXYNYTWd,ye,Wouldn't Leave,0.556,0.432,3,-8.551,0.545,0.495,0,0.308,0.352,164.235,205547
3U21A07gAloCc4P7J8rxcn,ye,All Mine,0.925,0.31,11,-6.531,0.291,0.123,0,0.0931,0.291,121.927,145507
1qsHYUd2c1wFGcn7e63QmG,ye,Yikes,0.683,0.776,1,-3.251,0.341,0.15,0,0.227,0.223,173.996,188773
0yhxBvedRdGxsPZHJNI4VA,ye,I Thought About Killing You,0.752,0.396,2,-7.932,0.411,0.867,0,0.0486,0.417,116.016,274187
1o0kWPueYo94LIjPYOE5Nf,The Life Of Pablo,Saint Pablo,0.502,0.768,2,-4.102,0.344,0.273,0,0.204,0.403,168.218,372113
3cCxoOgfi6hgt8MNteuiiD,The Life Of Pablo,Fade,0.756,0.766,9,-5.793,0.088,0.1,0,0.313,0.288,105.986,193748
